record_type,seed,S,A,gamma,K,L_z,n,sigma_xi,alpha,beta,candidate_mode,value_error,decomposition_bound,finite_depth_residual,finite_depth_residual_bound,eps_res_star,eps_res_n,eps_A_cand,eps_A_bound,eta_pi,eta_pi_alpha,Lhat_pi_alpha,eps_CPI,penalty_decomp,penalty_exact_A,certificate_holds_decomp,certificate_holds_exact_A
value_curve,0,64,4,0.9,3,0.5,14,0.05,0.0,0.0,none,0.12140943857926462,0.4158990632371479,0.11266307431763933,0.4157309015411047,0.11265912286242064,0.11266307431763933,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.5,15,0.05,0.0,0.0,none,0.12140464946784632,0.4158076918813427,0.11266109859003004,0.41572361103332134,0.11265912286242064,0.11266109859003004,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.5,16,0.05,0.0,0.0,none,0.12140225491213716,0.4157620062034401,0.11266011072622528,0.4157199657794292,0.11265912286242064,0.11266011072622528,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.5,17,0.05,0.0,0.0,none,0.1214010576342826,0.41573916336448885,0.1126596167943229,0.4157181431524832,0.11265912286242064,0.1126596167943229,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.5,18,0.05,0.0,0.0,none,0.12140045899535531,0.41572774194501316,0.11265936982837199,0.41571723183901116,0.11265912286242064,0.11265936982837199,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.5,19,0.05,0.0,0.0,none,0.12140015967589166,0.41572203123527535,0.11265924634539626,0.41571677618227415,0.11265912286242064,0.11265924634539626,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.5,20,0.05,0.0,0.0,none,0.12140001001615985,0.41571917588040647,0.11265918460390845,0.41571654835390587,0.11265912286242064,0.11265918460390845,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.8,1,0.05,0.0,0.0,none,2.2852984912781693,2.810961590145301,0.9272068832114428,3.4214276133263586,0.11265912286242064,0.9272068832114428,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.8,2,0.05,0.0,0.0,none,1.8062494373542166,2.3319125362213486,0.7214990745264163,2.6623582085845627,0.11265912286242064,0.7214990745264163,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.8,3,0.05,0.0,0.0,none,1.4230101942150544,1.9486732930821868,0.5569328275783949,2.055102684791126,0.11265912286242064,0.5569328275783949,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.8,4,0.05,0.0,0.0,none,1.1164187997037245,1.642081898570857,0.45163522614712237,1.666550649989382,0.11265912286242064,0.45163522614712237,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.8,5,0.05,0.0,0.0,none,0.8840054305319123,1.3968087829617928,0.3823979170177718,1.4110624244198227,0.11265912286242064,0.3823979170177718,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
value_curve,0,64,4,0.9,3,0.8,6,0.05,0.0,0.0,none,0.727424114885066,1.2005902904745418,0.32700806971429186,1.206671843964177,0.11265912286242064,0.32700806971429186,0.0,0.0,-0.7460388228045816,-0.7460388228045816,-0.7460388228045816,0.0,0.0,0.0,1,1
